,name,height,wingspan
1270,Tu Holloway,5' 10.5'',6' 5.5''
1271,Robbie Hummel,6' 7.25'',6' 8.5''
1272,Bernard James,6' 8.75'',7' 3''
1273,John Jenkins,6' 3.25'',6' 8.5''
1274,Orlando Johnson,6' 3.75'',6' 11.25''
1275,Darius Johnson-Odom,6' 1.5'',6' 7''
1276,Terrence Jones,6' 8.25'',7' 2.25''
1277,Perry Jones,6' 10.25'',7' 1.75''
1278,Kevin Jones,6' 6.25'',7' 1.5''
1279,Kris Joseph,6' 6'',6' 11''
1280,Michael Kidd-Gilchrist,6' 5.75'',7' 0''
1281,Jeremy Lamb,6' 4'',6' 11''
1282,Doron Lamb,6' 3.25'',6' 6.75''
1283,Meyers Leonard,6' 11.75'',7' 3''
1284,Damian Lillard,6' 1.75'',6' 7.75''
1285,Scott Machado,6' 1'',6' 4''
1286,Kendall Marshall,6' 3.25'',6' 5.5''
1287,Fab Melo,6' 10.75'',7' 2.5''
1288,Khris Middleton,6' 6.75'',6' 10.75''
1289,Quincy Miller,6' 8.75'',7' 1.25''
1290,Darius Miller,6' 6'',6' 9''
1291,Tony Mitchell,6' 5.25'',6' 10''
1292,Arnett Moultrie,6' 9.5'',7' 2.25''
1293,Kevin Murphy,6' 5'',6' 6.75''
1294,Andrew Nicholson,6' 8.5'',7' 4''
1295,Kyle O'Quinn,6' 8.5'',7' 4.75''
1296,Miles Plumlee,6' 10.5'',7' 0.75''
1297,Austin Rivers,6' 3.5'',6' 7.25''
1298,Thomas Robinson,6' 7.75'',7' 3.25''
1299,Terrence Ross,6' 6'',6' 7.25''
1300,Tomas Satoransky,6' 6.5'',6' 7.25''
1301,Mike Scott,6' 7.25'',6' 10.75''
1302,Henry Sims,6' 10'',7' 4''
1303,Jared Sullinger,6' 7.75'',7' 1.25''
1304,Jordan Taylor,6' 1'',6' 3''
1305,Jeff Taylor,6' 6'',6' 6.25''
1306,Tyshawn Taylor,6' 2.75'',6' 6.25''
1307,Marquis Teague,6' 1'',6' 7.25''
1308,Hollis Thompson,6' 6.75'',6' 9.5''
1309,Dion Waiters,6' 2.5'',6' 7.25''
1310,Royce White,6' 7'',7' 0''
1311,Tony Wroten,6' 4.75'',6' 9''
1312,Tyler Zeller,6' 11.25'',7' 0''
