Player,Team,G,MP,TS%,MPG
Jericho Sims,NYK,41.0,555.0,0.674,13.536585365853659
Jevon Carter,2TM,66.0,905.0,0.531,13.712121212121213
Jimmy Butler,MIA,57.0,1931.0,0.592,33.87719298245614
Jock Landale,SAS,54.0,589.0,0.597,10.907407407407407
Joe Harris,BRK,14.0,423.0,0.624,30.214285714285715
Joe Ingles,UTA,45.0,1122.0,0.551,24.933333333333334
Joe Johnson,BOS,1.0,2.0,1.0,2.0
Joe Wieskamp,SAS,29.0,205.0,0.494,7.068965517241379
Joel Ayayi,WAS,7.0,20.0,0.167,2.857142857142857
Joel Embiid,PHI,68.0,2297.0,0.616,33.779411764705884
John Collins,ATL,54.0,1663.0,0.61,30.796296296296298
John Konchar,MEM,72.0,1292.0,0.615,17.944444444444443
Jon Teske,MEM,3.0,8.0,0.0,2.6666666666666665
Jonas Valančiūnas,NOP,74.0,2240.0,0.617,30.27027027027027
Jonathan Kuminga,GSW,70.0,1185.0,0.6,16.928571428571427
Jordan Clarkson,UTA,79.0,2141.0,0.532,27.10126582278481
Jordan Goodwin,WAS,2.0,6.0,0.0,3.0
Jordan McLaughlin,MIN,62.0,902.0,0.535,14.548387096774194
Jordan Nwora,MIL,62.0,1185.0,0.506,19.112903225806452
Jordan Poole,GSW,76.0,2283.0,0.598,30.039473684210527
Jordan Schakel,WAS,4.0,30.0,0.21,7.5
Jose Alvarado,NOP,54.0,834.0,0.52,15.444444444444445
Josh Christopher,HOU,74.0,1334.0,0.534,18.027027027027028
Josh Giddey,OKC,54.0,1700.0,0.478,31.48148148148148
Josh Green,DAL,67.0,1039.0,0.578,15.507462686567164
Josh Hart,2TM,54.0,1791.0,0.61,33.166666666666664
Josh Jackson,2TM,51.0,830.0,0.491,16.274509803921568
Josh Okogie,MIN,49.0,516.0,0.526,10.53061224489796
Josh Richardson,2TM,65.0,1600.0,0.573,24.615384615384617
Joshua Primo,SAS,50.0,965.0,0.487,19.3
Jrue Holiday,MIL,67.0,2207.0,0.593,32.940298507462686
Juan Toscano-Anderson,GSW,73.0,994.0,0.561,13.616438356164384
Juancho Hernangómez,3TM,40.0,445.0,0.542,11.125
Julius Randle,NYK,72.0,2544.0,0.509,35.333333333333336
Justin Anderson,2TM,16.0,316.0,0.493,19.75
Justin Champagnie,TOR,36.0,281.0,0.571,7.805555555555555
Justin Holiday,2TM,74.0,2057.0,0.543,27.7972972972973
Justin Jackson,2TM,7.0,37.0,0.472,5.285714285714286
Justin Robinson,3TM,25.0,304.0,0.404,12.16
Justise Winslow,2TM,48.0,774.0,0.479,16.125
Jusuf Nurkić,POR,56.0,1579.0,0.586,28.196428571428573
Juwan Morgan,2TM,2.0,31.0,0.833,15.5
KJ Martin,HOU,79.0,1656.0,0.603,20.962025316455698
KZ Okpala,MIA,21.0,244.0,0.521,11.619047619047619
Kai Jones,CHO,21.0,63.0,0.628,3.0
Karl-Anthony Towns,MIN,74.0,2476.0,0.64,33.45945945945946
Keifer Sykes,IND,32.0,566.0,0.456,17.6875
Keita Bates-Diop,SAS,59.0,956.0,0.578,16.203389830508474
Kelan Martin,2TM,30.0,450.0,0.484,15.0
Keldon Johnson,SAS,75.0,2392.0,0.574,31.893333333333334
Keljin Blevins,POR,31.0,349.0,0.41,11.258064516129032
Kelly Olynyk,DET,40.0,764.0,0.561,19.1
Kelly Oubre Jr.,CHO,76.0,1999.0,0.56,26.30263157894737
Kemba Walker,NYK,37.0,948.0,0.537,25.62162162162162
Kenrich Williams,OKC,49.0,1072.0,0.532,21.877551020408163
Kent Bazemore,LAL,39.0,545.0,0.451,13.974358974358974
Kentavious Caldwell-Pope,WAS,77.0,2329.0,0.568,30.246753246753247
Keon Johnson,2TM,37.0,697.0,0.453,18.83783783783784
Kessler Edwards,BRK,48.0,987.0,0.516,20.5625
Kevin Durant,BRK,55.0,2047.0,0.634,37.21818181818182
Kevin Huerter,ATL,74.0,2188.0,0.57,29.56756756756757
Kevin Knox,2TM,30.0,222.0,0.491,7.4
Kevin Love,CLE,74.0,1665.0,0.594,22.5
Kevin Pangos,CLE,24.0,166.0,0.408,6.916666666666667
Kevin Porter Jr.,HOU,61.0,1907.0,0.531,31.262295081967213
Kevon Looney,GSW,82.0,1732.0,0.586,21.121951219512194
Khem Birch,TOR,55.0,991.0,0.534,18.01818181818182
Khris Middleton,MIL,66.0,2141.0,0.577,32.43939393939394
Killian Hayes,DET,66.0,1647.0,0.461,24.954545454545453
Killian Tillie,MEM,36.0,461.0,0.452,12.805555555555555
Kira Lewis Jr.,NOP,24.0,341.0,0.466,14.208333333333334
Klay Thompson,GSW,32.0,941.0,0.547,29.40625
Kris Dunn,POR,14.0,336.0,0.482,24.0
Kristaps Porziņģis,2TM,51.0,1481.0,0.577,29.03921568627451
Kyle Anderson,MEM,69.0,1484.0,0.506,21.507246376811594
Kyle Guy,MIA,19.0,186.0,0.526,9.789473684210526
Kyle Kuzma,WAS,66.0,2204.0,0.547,33.39393939393939
Kyle Lowry,MIA,63.0,2133.0,0.6,33.857142857142854
Kyrie Irving,BRK,29.0,1091.0,0.592,37.62068965517241
LaMarcus Aldridge,BRK,47.0,1050.0,0.604,22.340425531914892
LaMelo Ball,CHO,75.0,2422.0,0.554,32.29333333333334
Lamar Stevens,CLE,63.0,1015.0,0.544,16.11111111111111
Lance Stephenson,2TM,46.0,814.0,0.536,17.695652173913043
Landry Shamet,PHO,69.0,1437.0,0.55,20.82608695652174
Langston Galloway,2TM,7.0,107.0,0.269,15.285714285714286
Larry Nance Jr.,2TM,46.0,1040.0,0.59,22.608695652173914
Lauri Markkanen,CLE,61.0,1878.0,0.582,30.78688524590164
LeBron James,LAL,56.0,2084.0,0.619,37.214285714285715
Leandro Bolmaro,MIN,35.0,241.0,0.419,6.885714285714286
Lindell Wigginton,MIL,19.0,199.0,0.524,10.473684210526315
Lindy Waters III,OKC,25.0,465.0,0.562,18.6
