nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
201584,Courtney Lee,2018,NYK,SG,30.394,-2.507,-1.148,-1.36,-0.265,Secondary Ball Handler,Wing Stopper
201585,Kosta Koufos,2018,SAC,C,19.592,-0.015,-0.814,0.799,2.131,Roll + Cut Big,Mobile Big
201586,Serge Ibaka,2018,TOR,PF,27.543,0.404,-0.136,0.54,3.791,Stationary Shooter,Helper
201587,Nicolas Batum,2018,CHO,SG,30.951,-0.08,0.045,-0.125,2.948,Off Screen Shooter,Low Activity
201588,George Hill,2018,SAC/CLE,PG,27.048,-0.089,-0.031,-0.058,2.687,Primary Ball Handler,Point of Attack
201596,Mario Chalmers,2018,MEM,PG,21.536,-0.192,-0.688,0.497,2.01,Primary Ball Handler,Point of Attack
201599,Deandre Jordan,2018,LAC,C,31.477,0.92,0.396,0.524,5.221,Roll + Cut Big,Anchor Big
201601,Luc Mbah A Moute,2018,HOU,PF,25.644,-1.373,-1.805,0.432,0.984,Stationary Shooter,Chaser
201609,Goran Dragic,2018,MIA,PG,31.703,0.119,0.725,-0.606,3.855,Slasher,Point of Attack
201933,Blake Griffin,2018,LAC/DET,PF,33.964,0.723,1.616,-0.893,3.985,Shot Creator,Helper
201935,James Harden,2018,HOU,SG,35.428,6.407,6.396,0.011,14.254,Shot Creator,Chaser
201936,Tyreke Evans,2018,MEM,PG,30.907,1.115,2.211,-1.096,3.67,Shot Creator,Low Activity
201937,Ricky Rubio,2018,UTA,PG,29.279,1.997,0.228,1.77,6.46,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2018,GSW,PG,31.981,5.906,6.137,-0.23,8.646,Primary Ball Handler,Point of Attack
201942,Demar Derozan,2018,TOR,SG,33.9,3.321,4.054,-0.734,10.093,Shot Creator,Low Activity
201943,Brandon Jennings,2018,MIL,PG,14.654,-1.034,-0.14,-0.894,0.175,Primary Ball Handler,Point of Attack
201949,James Johnson,2018,MIA,PF,26.621,-0.389,-0.17,-0.218,2.493,Shot Creator,Helper
201950,Jrue Holiday,2018,NOP,SG,36.134,1.858,1.502,0.355,8.118,Shot Creator,Wing Stopper
201952,Jeff Teague,2018,MIN,PG,33.02,1.135,1.217,-0.082,5.309,Shot Creator,Point of Attack
201954,Darren Collison,2018,IND,PG,29.252,1.091,0.778,0.313,4.576,Primary Ball Handler,Point of Attack
201956,Omri Casspi,2018,GSW,SF,13.993,-1.08,-1.201,0.121,0.611,Roll + Cut Big,Low Activity
201959,Taj Gibson,2018,MIN,PF,33.251,-0.022,-0.024,0.002,4.164,Post Scorer,Helper
201960,Demarre Carroll,2018,BRK,PF,29.858,0.234,0.05,0.184,3.701,Movement Shooter,Wing Stopper
201961,Wayne Ellington,2018,MIA,SG,26.508,-0.446,1.015,-1.461,2.54,Off Screen Shooter,Low Activity
201967,Dante Cunningham,2018,NOP/BRK,SF,21.394,-1.271,-1.222,-0.049,1.088,Stationary Shooter,Helper
201973,Jonas Jerebko,2018,UTA,PF,15.319,-0.794,-0.624,-0.17,1.148,Stationary Shooter,Mobile Big
201975,Jodie Meeks,2018,WAS,SG,14.528,-0.661,0.561,-1.223,1.232,Off Screen Shooter,Low Activity
201976,Patrick Beverley,2018,LAC,SG,30.326,0.763,0.207,0.556,0.684,Primary Ball Handler,Point of Attack
201980,Danny Green,2018,SAS,SG,25.586,0.416,-0.838,1.254,3.257,Movement Shooter,Wing Stopper
201988,Patty Mills,2018,SAS,PG,25.699,0.339,0.928,-0.589,3.725,Primary Ball Handler,Point of Attack
202066,Garrett Temple,2018,SAC,SG,24.847,-1.533,-1.531,-0.003,0.845,Movement Shooter,Wing Stopper
202083,Wesley Matthews,2018,DAL,SF,33.832,-0.768,-0.654,-0.114,2.197,Off Screen Shooter,Wing Stopper
202322,John Wall,2018,WAS,PG,34.387,1.591,1.927,-0.336,3.663,Shot Creator,Point of Attack
202323,Evan Turner,2018,POR,SF,25.746,-1.888,-1.715,-0.172,0.59,Shot Creator,Wing Stopper
202324,Derrick Favors,2018,UTA,C,27.967,1.052,-0.586,1.638,4.827,Roll + Cut Big,Mobile Big
202325,Wesley Johnson,2018,LAC,SF,20.083,-0.605,-2.116,1.511,1.692,Stationary Shooter,Wing Stopper
202326,Demarcus Cousins,2018,NOP,C,36.192,3.07,1.403,1.667,6.187,Shot Creator,Anchor Big
