,name,height_inches,wingspan_inches,relative
349,John Henson,81.0,89.0,8.0
350,Tu Holloway,70.5,77.5,7.0
351,Robbie Hummel,79.25,80.5,1.25
352,Bernard James,80.75,87.0,6.25
353,John Jenkins,75.25,80.5,5.25
354,Orlando Johnson,75.75,83.25,7.5
355,Darius Johnson-Odom,73.5,79.0,5.5
356,Terrence Jones,80.25,86.25,6.0
357,Perry Jones,82.25,85.75,3.5
358,Kevin Jones,78.25,85.5,7.25
359,Kris Joseph,78.0,83.0,5.0
360,Michael Kidd-Gilchrist,77.75,84.0,6.25
361,Jeremy Lamb,76.0,83.0,7.0
362,Doron Lamb,75.25,78.75,3.5
363,Meyers Leonard,83.75,87.0,3.25
364,Damian Lillard,73.75,79.75,6.0
365,Scott Machado,73.0,76.0,3.0
366,Kendall Marshall,75.25,77.5,2.25
367,Fab Melo,82.75,86.5,3.75
368,Khris Middleton,78.75,82.75,4.0
369,Quincy Miller,80.75,85.25,4.5
370,Darius Miller,78.0,81.0,3.0
371,Tony Mitchell,77.25,82.0,4.75
372,Arnett Moultrie,81.5,86.25,4.75
373,Kevin Murphy,77.0,78.75,1.75
374,Andrew Nicholson,80.5,88.0,7.5
375,Kyle O'Quinn,80.5,88.75,8.25
376,Miles Plumlee,82.5,84.75,2.25
377,Austin Rivers,75.5,79.25,3.75
378,Thomas Robinson,79.75,87.25,7.5
379,Terrence Ross,78.0,79.25,1.25
380,Tomas Satoransky,78.5,79.25,0.75
381,Mike Scott,79.25,82.75,3.5
382,Henry Sims,82.0,88.0,6.0
383,Jared Sullinger,79.75,85.25,5.5
384,Jordan Taylor,73.0,75.0,2.0
385,Jeff Taylor,78.0,78.25,0.25
386,Tyshawn Taylor,74.75,78.25,3.5
387,Marquis Teague,73.0,79.25,6.25
388,Hollis Thompson,78.75,81.5,2.75
389,Dion Waiters,74.5,79.25,4.75
390,Royce White,79.0,84.0,5.0
391,Tony Wroten,76.75,81.0,4.25
392,Tyler Zeller,83.25,84.0,0.75
393,Quincy Acy,78.5,86.75,8.25
394,Harrison Barnes,79.0,83.25,4.25
395,Will Barton,77.0,81.75,4.75
396,Bradley Beal,75.25,80.0,4.75
397,J'Covan Brown,73.0,77.25,4.25
398,William Buford,76.0,81.5,5.5
399,Jae Crowder,76.75,81.25,4.5
400,Jared Cunningham,75.5,78.5,3.0
401,Anthony Davis,81.25,89.5,8.25
402,Marcus Denmon,74.25,77.0,2.75
403,Andre Drummond,81.75,90.25,8.5
404,Kim English,76.5,78.5,2.0
405,Festus Ezeli,81.75,89.75,8.0
406,Drew Gordon,80.0,83.5,3.5
407,Draymond Green,77.75,85.25,7.5
408,JaMychal Green,80.0,86.25,6.25
409,Maurice Harkless,79.25,84.0,4.75
410,John Henson,81.0,89.0,8.0
411,Tu Holloway,70.5,77.5,7.0
412,Robbie Hummel,79.25,80.5,1.25
413,Bernard James,80.75,87.0,6.25
414,John Jenkins,75.25,80.5,5.25
415,Orlando Johnson,75.75,83.25,7.5
416,Darius Johnson-Odom,73.5,79.0,5.5
417,Terrence Jones,80.25,86.25,6.0
418,Perry Jones,82.25,85.75,3.5
419,Kevin Jones,78.25,85.5,7.25
420,Kris Joseph,78.0,83.0,5.0
421,Michael Kidd-Gilchrist,77.75,84.0,6.25
422,Jeremy Lamb,76.0,83.0,7.0
