Player,LEBRON,O-LEBRON,D-LEBRON
Kz Okpala,-2.149,-2.379,0.231
Landry Shamet,-2.212,-0.804,-1.407
Sterling Brown,-2.236,-1.83,-0.406
Terrence Ross,-2.321,-1.218,-1.103
Jerome Robinson,-2.375,-2.455,0.08
Garrett Temple,-2.39,-2.382,-0.009
Wes Iwundu,-2.392,-2.388,-0.004
Markieff Morris,-2.403,-2.048,-0.354
Solomon Hill,-2.453,-2.229,-0.224
Hamidou Diallo,-2.459,-1.719,-0.74
Darius Bazley,-2.478,-2.289,-0.189
Kevin Knox Ii,-2.48,-1.371,-1.109
Avery Bradley,-2.48,-1.455,-1.025
Elfrid Payton,-2.485,-0.851,-1.634
Patrick Williams,-2.522,-2.637,0.115
Gary Clark,-2.535,-2.34,-0.195
Isaac Okoro,-2.543,-2.318,-0.226
R.J. Hampton,-2.548,-1.222,-1.326
Frank Jackson,-2.554,-0.567,-1.987
Semi Ojeleye,-2.554,-1.791,-0.763
Edmond Sumner,-2.588,-1.718,-0.87
Justise Winslow,-2.602,-2.768,0.166
Gary Trent Jr.,-2.603,-0.059,-2.544
Anfernee Simons,-2.624,-0.015,-2.609
Danuel House Jr.,-2.627,-2.076,-0.552
Nassir Little,-2.631,-1.37,-1.261
Bismack Biyombo,-2.659,-2.924,0.265
Josh Hall,-2.698,-2.524,-0.174
Isaiah Roby,-2.742,-2.52,-0.222
Tyler Cook,-2.784,-1.678,-1.106
Glenn Robinson Iii,-2.81,-1.485,-1.325
Romeo Langford,-2.904,-2.416,-0.488
P.J. Tucker,-2.92,-3.417,0.497
Damyean Dotson,-2.99,-1.378,-1.612
James Wiseman,-3.01,-3.041,0.031
Lonnie Walker Iv,-3.038,-1.416,-1.622
Isaac Bonga,-3.054,-3.921,0.867
Killian Hayes,-3.152,-3.054,-0.097
Jahlil Okafor,-3.329,-2.376,-0.953
Tony Snell,-3.334,-2.218,-1.116
Rodney Hood,-3.649,-2.577,-1.071
Theo Maledon,-3.681,-3.086,-0.596
Chasson Randle,-3.775,-2.55,-1.225
Sekou Doumbouya,-3.839,-2.582,-1.257
Aleksej Pokusevski,-3.874,-3.659,-0.215
Dwayne Bacon,-3.926,-2.211,-1.715
