the-rank,the-name,block,tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3
371,Keyonte George,UTA | SG,"6'4""","6'6""",2
372,Moritz Wagner,ORL | C,"6'10""","7'0""",2
373,Tristan da Silva,ORL | PF,"6'8.25""","6'10.25""",2
374,Austin Reaves,LAL | SG,"6'4.5""","6'6.25""",1.75
375,Liam McNeeley,CHA | SF,"6'6.75""","6'8.5""",1.75
376,Anthony Black,ORL | PG,"6'5.75""","6'7.5""",1.75
377,Yang Hansen,POR | C,"7'1""","7'2.75""",1.75
378,Brandin Podziemski,GSW | SG,"6'3.75""","6'5.5""",1.75
379,Rocco Zikarsky,MIN | C,"7'3""","7'4.75""",1.75
380,Jared McCain,OKC | SG,"6'2""","6'3.5""",1.5
381,Jimmy Butler III,GSW | SF,"6'6""","6'7.5""",1.5
382,Tyler Kolek,NYK | PG,"6'1.25""","6'2.75""",1.5
383,Pacôme Dadiet,NYK | SG,"6'7.5""","6'9""",1.5
384,T.J. McConnell,IND | PG,"6'0.5""","6'2""",1.5
385,Oso Ighodaro,PHX | C,"6'9.5""","6'11""",1.5
386,Reed Sheppard,HOU | PG,"6'1.75""","6'3.25""",1.5
387,Stephen Curry,GSW | PG,"6'2""","6'3.5""",1.5
388,Sam Merrill,CLE | SG,"6'3.5""","6'5""",1.5
389,Marvin Bagley III,DAL | PF,"6'10.5""","7'0""",1.5
390,Coby White,CHA | PG,"6'3.5""","6'5""",1.5
391,Maxi Kleber,LAL | C,"6'9.25""","6'10.75""",1.5
392,Max Shulga,BOS | SG,"6'4.25""","6'5.75""",1.5
393,Kevin Huerter,DET | SG,"6'6.25""","6'7.5""",1.25
394,Matas Buzelis,CHI | PF,"6'8.75""","6'10""",1.25
395,Kon Knueppel,CHA | SF,"6'5""","6'6.25""",1.25
396,Kobe Sanders,LAC | SG,"6'7""","6'8.25""",1.25
397,Kenrich Williams,OKC | SF,"6'6""","6'7.25""",1.25
398,Christian Braun,DEN | SF,"6'5.5""","6'6.5""",1
399,Micah Peavy,NOP | SG,"6'6.25""","6'7.25""",1
400,Dillon Brooks,PHX | SF,"6'5""","6'6""",1
