Player,dpm,d_dpm,o_dpm
garrett temple,-2.36,-0.27,-2.09
darrun hilliard,-2.37,-0.41,-1.97
brandon jennings,-2.38,-1.22,-1.16
jarell eddie,-2.38,-0.6,-1.79
milton doyle,-2.38,-0.48,-1.9
ben mclemore,-2.39,-0.4,-2.0
mike young,-2.39,-0.3,-2.09
nick collison,-2.4,0.9,-3.3
vincent hunter,-2.48,-0.65,-1.84
dragan bender,-2.48,-0.41,-2.08
brandon rush,-2.5,-0.63,-1.86
jawun evans,-2.5,-0.12,-2.38
de'aaron fox,-2.51,-0.96,-1.55
ramon sessions,-2.52,-1.23,-1.29
john holland,-2.53,-0.56,-1.98
furkan korkmaz,-2.53,-0.61,-1.92
jameel warney,-2.54,-0.53,-2.01
marcus georges-hunt,-2.55,-0.65,-1.9
travis wear,-2.55,-0.62,-1.92
joel bolomboy,-2.56,-0.53,-2.03
timofey mozgov,-2.56,0.81,-3.37
marquis teague,-2.59,-0.42,-2.18
josh jackson,-2.6,-1.19,-1.41
tony bradley,-2.6,-1.07,-1.53
zach randolph,-2.6,-1.69,-0.92
jason smith,-2.61,-0.44,-2.17
quincy pondexter,-2.61,-0.57,-2.04
xavier rathan-mayes,-2.61,-0.42,-2.19
matt costello,-2.63,-0.01,-2.62
jason terry,-2.63,-0.13,-2.5
jordan mickey,-2.63,-0.39,-2.24
jameer nelson,-2.64,-0.76,-1.88
mangok mathiang,-2.65,-0.69,-1.96
tj leaf,-2.66,-0.94,-1.72
jaylen morris,-2.67,-0.42,-2.25
jaylen johnson,-2.67,-0.09,-2.58
tony parker,-2.68,-1.06,-1.62
wayne selden,-2.68,-1.56,-1.13
damian jones,-2.72,-0.03,-2.69
rashad vaughn,-2.73,-0.52,-2.22
ben moore,-2.74,-0.33,-2.41
isaiah taylor,-2.75,-1.49,-1.27
nigel hayes,-2.75,-0.22,-2.54
james webb iii,-2.76,-0.6,-2.16
joe johnson,-2.77,-1.0,-1.77
joe young,-2.77,-0.94,-1.83
kadeem allen,-2.78,-0.56,-2.22
evan turner,-2.79,-0.19,-2.61
arron afflalo,-2.79,-0.99,-1.8
jahlil okafor,-2.8,-1.07,-1.74
henry ellenson,-2.8,-1.34,-1.47
malik monk,-2.81,-2.48,-0.34
abdel nader,-2.82,-0.37,-2.46
lance thomas,-2.82,-0.66,-2.16
vander blue,-2.83,-0.77,-2.06
jerryd bayless,-2.84,-0.83,-2.01
kendrick perkins,-2.87,0.94,-3.81
bismack biyombo,-2.9,0.54,-3.44
cristiano felicio,-2.9,-0.63,-2.27
walter lemon jr.,-2.91,-1.07,-1.84
tyler dorsey,-2.92,-1.62,-1.3
larry drew ii,-2.93,-1.28,-1.65
adreian payne,-3.05,-0.45,-2.6
london perrantes,-3.1,-0.55,-2.54
marshall plumlee,-3.1,0.03,-3.13
andrew white iii,-3.12,-0.84,-2.28
paul zipser,-3.13,-0.65,-2.48
luis montero,-3.16,-0.68,-2.49
semi ojeleye,-3.16,-0.7,-2.46
brandon knight,-3.2,-1.61,-1.58
dwayne bacon,-3.26,-0.9,-2.36
rodney purvis,-3.32,-0.95,-2.36
brice johnson,-3.33,-0.71,-2.63
emmanuel mudiay,-3.34,-1.62,-1.72
kobi simmons,-3.45,-1.0,-2.46
richard jefferson,-3.68,-0.29,-3.39
bobby brown,-3.77,-1.92,-1.85
johnny o'bryant iii,-3.89,-1.83,-2.06
isaiah hicks,-3.92,-0.96,-2.96
aaron brooks,-4.01,-1.89,-2.12
jamal crawford,-4.75,-3.68,-1.07
udonis haslem,-5.1,-0.32,-4.78
